Shipment_ID,Distance_km,Shipment_Volume_kg,Delivery_Time_min,Transport_Cost_INR,Fuel_Used_L,Fuel_Efficiency_km_per_L,On_Time
SHP1001,33.09,384,52.36,2095.6,2.8,23.1,1
SHP1002,76.3,499,114.64,3273.37,2.22,23.83,0
SHP1003,59.9,391,75.0,2433.49,3.11,19.65,1
SHP1004,49.9,369,68.37,2868.07,3.54,17.45,1
SHP1005,16.7,66,36.5,772.4,1.0,18.88,1
SHP1006,16.7,374,69.02,1573.36,1.0,20.89,1
SHP1007,9.36,330,49.49,1276.28,1.0,14.59,1
SHP1008,69.96,443,103.37,2681.1,1.97,23.86,0
SHP1009,50.08,327,78.81,2287.77,3.89,16.26,1
SHP1010,58.11,163,74.58,2157.09,2.38,22.5,1
SHP1011,6.54,288,47.35,1050.37,1.0,20.58,1
SHP1012,77.74,389,87.91,3156.08,2.31,21.71,1
SHP1013,67.43,143,77.41,2301.65,2.54,19.82,1
SHP1014,20.93,125,55.31,995.71,1.85,21.54,1
SHP1015,18.64,177,38.1,983.63,1.12,19.82,1
SHP1016,18.76,166,47.27,1361.63,1.66,19.61,1
SHP1017,27.82,164,54.65,1205.47,2.11,18.76,1
SHP1018,44.36,139,63.84,1798.3,1.19,24.81,1
SHP1019,37.4,338,52.01,2135.17,3.16,21.92,1
SHP1020,26.84,294,53.26,1523.5,2.42,21.52,1
SHP1021,50.89,111,65.87,2059.88,2.37,18.81,1
SHP1022,15.46,77,45.28,674.56,1.0,20.41,1
SHP1023,26.91,458,63.32,1987.9,1.24,18.53,1
SHP1024,32.48,365,67.48,1912.35,1.79,19.77,1
SHP1025,39.21,248,61.37,1838.71,1.84,17.98,1
SHP1026,63.89,493,96.34,2664.32,2.43,24.97,0
SHP1027,19.98,136,36.53,1020.6,1.0,19.11,1
SHP1028,43.57,337,57.83,2464.26,2.87,18.81,1
SHP1029,49.43,298,57.32,2448.43,2.83,17.69,1
SHP1030,8.48,146,36.27,1088.88,1.02,19.07,1
SHP1031,50.57,412,73.71,2654.28,3.29,19.76,1
SHP1032,17.79,415,60.57,1795.65,1.0,20.88,1
SHP1033,9.88,148,36.22,930.53,1.0,19.39,1
SHP1034,76.17,77,93.52,2498.68,4.11,17.0,0
SHP1035,77.42,141,100.42,2474.27,6.04,17.21,0
SHP1036,65.63,20,76.2,2077.65,2.98,22.7,1
SHP1037,27.85,258,60.55,1840.85,1.83,20.69,1
SHP1038,12.33,309,55.35,1213.43,1.0,22.62,1
SHP1039,56.32,115,66.9,2219.84,2.54,22.95,1
SHP1040,38.01,145,63.47,1693.82,2.37,21.38,1
SHP1041,14.15,137,39.01,830.48,1.31,17.92,1
SHP1042,42.14,67,55.15,1426.82,2.34,21.47,1
SHP1043,7.58,108,26.32,1031.62,1.0,24.5,1
SHP1044,73.2,256,83.97,2825.16,3.72,19.88,1
SHP1045,24.41,392,59.32,1765.9,1.0,21.85,1
SHP1046,54.69,404,69.87,2444.79,2.07,20.97,1
SHP1047,28.38,291,55.0,1707.53,1.3,24.43,1
SHP1048,44.01,208,76.03,2052.71,1.85,19.31,1
SHP1049,46.0,211,74.75,2236.19,2.34,23.88,1
SHP1050,18.86,466,52.12,2045.19,1.22,20.06,1
SHP1051,77.72,88,106.34,2652.18,4.85,19.26,0
SHP1052,63.13,297,101.81,2537.46,3.54,21.27,0
SHP1053,75.46,368,98.27,2996.3,3.59,21.86,0
SHP1054,72.11,266,73.15,2787.78,3.25,25.78,1
SHP1055,49.84,470,87.72,2644.71,2.89,21.8,1
SHP1056,74.14,95,71.85,2660.59,3.15,21.48,1
SHP1057,11.64,173,55.21,1453.25,1.0,24.99,1
SHP1058,19.7,163,58.11,1194.83,1.0,22.5,1
SHP1059,8.39,454,62.09,1894.88,1.0,19.39,1
SHP1060,29.4,105,57.64,1596.61,1.81,24.39,1
SHP1061,34.15,204,58.85,1627.75,1.41,19.15,1
SHP1062,25.35,304,53.77,1937.93,2.06,19.38,1
SHP1063,67.16,481,90.04,3280.17,3.34,18.88,0
SHP1064,31.76,239,68.59,1605.18,1.99,18.66,1
SHP1065,26.07,88,58.23,1564.91,1.29,21.83,1
SHP1066,45.7,66,68.26,1859.04,1.66,20.36,1
SHP1067,15.57,113,39.19,1482.77,1.1,14.0,1
SHP1068,65.16,257,108.29,2457.21,3.41,20.33,0
SHP1069,10.59,465,57.19,1511.39,1.0,19.71,1
SHP1070,79.02,472,90.65,2815.92,2.6,23.23,0
SHP1071,62.92,223,80.52,2571.2,4.23,19.59,1
SHP1072,19.9,419,63.45,1764.63,1.0,27.35,1
SHP1073,5.41,237,33.75,949.37,1.0,24.49,1
SHP1074,66.16,493,96.74,3013.37,4.28,20.03,0
SHP1075,58.01,451,94.13,2456.12,2.8,23.87,0
SHP1076,59.68,360,58.44,2734.07,1.95,22.31,1
SHP1077,62.85,58,79.61,1974.53,2.29,21.58,1
SHP1078,10.55,119,40.66,1508.3,1.0,23.01,1
SHP1079,31.88,308,59.27,1767.05,1.69,21.14,1
SHP1080,13.69,273,49.92,1161.26,1.01,21.6,1
SHP1081,69.73,241,95.68,2541.39,3.59,23.06,0
SHP1082,51.75,376,80.9,2137.81,2.3,26.13,1
SHP1083,29.82,42,51.32,1388.66,2.19,21.63,1
SHP1084,9.77,269,49.4,1128.49,1.0,19.87,1
SHP1085,28.32,29,53.21,1401.69,1.32,15.93,1
SHP1086,29.39,265,57.7,1586.39,1.13,25.9,1
SHP1087,59.72,344,74.68,2791.44,2.89,20.34,1
SHP1088,52.82,119,61.67,2017.51,1.0,22.34,1
SHP1089,71.54,309,82.88,2719.44,2.44,25.76,1
SHP1090,40.42,199,68.73,2095.22,2.06,21.57,1
SHP1091,13.97,242,46.31,1419.34,1.0,20.51,1
SHP1092,58.49,413,74.11,3120.3,1.99,24.55,1
SHP1093,62.06,269,90.3,2409.95,3.35,22.15,0
SHP1094,47.1,166,81.88,1883.75,1.55,22.47,1
SHP1095,62.82,461,85.74,3168.73,4.08,17.19,1
SHP1096,42.03,115,51.73,1358.93,1.0,24.01,1
SHP1097,44.2,276,65.71,2358.28,3.67,21.94,1
SHP1098,37.07,344,74.35,2072.62,1.98,17.57,1
SHP1099,6.91,23,40.35,538.46,1.0,22.21,1
SHP1100,13.09,35,33.71,638.84,1.51,15.84,1
SHP1101,7.36,299,55.38,1084.01,1.0,26.85,1
SHP1102,52.73,355,90.79,2044.78,3.76,18.25,0
SHP1103,28.58,266,53.08,1544.43,1.36,25.03,1
SHP1104,43.14,277,64.63,2130.99,2.2,18.97,1
SHP1105,73.07,495,94.63,3034.73,3.13,22.4,0
SHP1106,23.7,403,54.5,2056.1,1.99,18.72,1
SHP1107,35.78,179,69.99,1949.49,1.66,23.49,1
SHP1108,61.67,494,93.85,3105.9,3.28,20.41,0
SHP1109,22.16,359,63.28,1698.06,1.32,22.17,1
SHP1110,10.77,171,48.07,631.37,1.0,21.04,1
SHP1111,26.73,415,74.94,1759.18,1.83,17.59,1
SHP1112,17.09,197,39.78,1210.05,1.0,22.26,1
SHP1113,74.73,182,95.88,2467.25,3.76,19.74,0
SHP1114,65.61,399,73.76,2702.37,2.11,23.61,1
SHP1115,52.51,52,61.72,2139.84,2.75,20.41,1
SHP1116,70.36,436,95.18,2615.7,2.35,20.81,0
SHP1117,65.28,464,95.86,3199.15,2.76,25.21,0
SHP1118,18.99,198,48.95,1438.49,1.0,26.95,1
SHP1119,71.94,446,92.73,3068.46,3.36,22.97,0
SHP1120,45.45,120,65.34,1626.1,1.61,20.28,1
SHP1121,65.56,287,99.27,2361.34,2.0,20.06,0
SHP1122,72.21,342,91.8,2559.39,3.6,18.95,0
SHP1123,28.85,84,68.6,1599.92,1.0,19.44,1
SHP1124,13.25,436,57.59,1858.16,1.0,20.32,1
SHP1125,22.1,187,55.57,1091.81,1.31,25.91,1
SHP1126,37.03,349,58.06,1945.62,2.77,20.51,1
SHP1127,66.35,62,90.79,2276.47,3.22,17.93,0
SHP1128,69.55,63,81.88,2218.46,3.25,21.1,1
SHP1129,5.52,304,32.35,828.31,1.0,21.45,1
SHP1130,43.31,416,78.28,2124.33,1.66,21.09,1
SHP1131,36.31,31,47.99,1764.44,1.98,23.0,1
SHP1132,21.66,114,43.65,1115.08,1.63,21.17,1
SHP1133,13.99,321,48.86,1361.15,1.0,22.92,1
SHP1134,30.32,405,81.52,1728.96,1.62,19.05,1
SHP1135,75.72,272,90.36,2917.21,3.75,25.45,0
SHP1136,29.24,261,55.67,1680.9,1.77,21.63,1
SHP1137,43.91,54,71.46,1517.06,2.5,22.0,1
SHP1138,57.73,234,70.97,2118.25,3.85,19.04,1
SHP1139,32.27,356,67.61,2178.34,2.27,22.18,1
SHP1140,77.88,109,103.12,2293.9,4.06,22.63,0
SHP1141,77.18,283,94.82,2987.76,4.36,18.08,0
SHP1142,23.88,112,59.64,854.67,1.19,16.85,1
SHP1143,42.29,429,76.05,2390.4,2.01,21.73,1
SHP1144,27.57,477,57.58,2148.72,1.07,19.78,1
SHP1145,26.36,109,51.71,1478.25,1.0,21.65,1
SHP1146,7.77,437,43.94,1433.45,1.0,17.77,1
SHP1147,50.72,134,72.21,2267.04,3.18,17.1,1
SHP1148,42.7,124,67.63,2117.79,1.63,21.52,1
SHP1149,8.86,410,51.87,1380.05,1.0,20.13,1
SHP1150,25.9,215,59.65,1411.1,1.55,15.72,1
SHP1151,73.12,333,75.9,2894.77,3.82,24.36,1
SHP1152,22.97,133,50.46,1168.08,1.08,17.73,1
SHP1153,15.87,94,32.65,932.56,1.39,27.43,1
SHP1154,41.71,432,71.13,2103.58,1.0,19.44,1
